Date,Open,High,Low,Close,Adj Close,Volume,Period
1/1/17,2251.570068,2282.100098,2245.129883,2276.97998,2276.97998,14637130000,1
1/8/17,2273.590088,2279.27002,2254.25,2274.639893,2274.639893,17020210000,2
1/15/17,2269.139893,2276.959961,2258.409912,2271.310059,2271.310059,13591180000,3
1/22/17,2267.780029,2300.98999,2257.02002,2294.689941,2294.689941,17555940000,4
1/29/17,2286.01001,2298.310059,2267.209961,2297.419922,2297.419922,19001010000,5
2/5/17,2294.280029,2319.22998,2285.379883,2316.100098,2316.100098,17320440000,6
2/12/17,2321.719971,2351.310059,2321.419922,2351.159912,2351.159912,17831660000,7
2/19/17,2354.909912,2368.26001,2352.870117,2367.340088,2367.340088,14895280000,8
2/26/17,2365.22998,2400.97998,2358.959961,2383.120117,2383.120117,19514510000,9
3/5/17,2375.22998,2378.800049,2354.540039,2372.600098,2372.600098,17712480000,10
3/12/17,2371.560059,2390.01001,2358.179932,2378.25,2378.25,18757070000,11
3/19/17,2378.23999,2381.929932,2335.73999,2343.97998,2343.97998,17128980000,12
3/26/17,2329.110107,2370.419922,2322.25,2362.719971,2362.719971,16227480000,13
4/2/17,2362.340088,2378.360107,2344.72998,2355.540039,2355.540039,16648230000,14
4/9/17,2357.159912,2366.370117,2328.949951,2328.949951,2328.949951,12243670000,15
4/16/17,2332.620117,2361.370117,2332.51001,2348.689941,2348.689941,16765230000,16
4/23/17,2370.330078,2398.159912,2369.189941,2384.199951,2384.199951,19608540000,17
4/30/17,2388.5,2399.290039,2379.75,2399.290039,2399.290039,18809590000,18
5/7/17,2399.939941,2403.870117,2381.73999,2390.899902,2390.899902,17759610000,19
5/14/17,2393.97998,2405.77002,2352.719971,2381.72998,2381.72998,19201970000,20
5/21/17,2387.209961,2418.709961,2386.919922,2415.820068,2415.820068,16116730000,21
5/28/17,2411.669922,2440.22998,2403.590088,2439.070068,2439.070068,15038090000,22
6/4/17,2437.830078,2446.199951,2415.699951,2431.77002,2431.77002,17598940000,23
6/11/17,2425.879883,2443.75,2418.530029,2433.149902,2433.149902,19496610000,24
6/18/17,2442.550049,2453.820068,2430.73999,2438.300049,2438.300049,19022570000,25
6/25/17,2443.320068,2450.419922,2405.699951,2423.409912,2423.409912,17565550000,26
7/2/17,2431.389893,2439.169922,2407.699951,2425.179932,2425.179932,11595360000,27
7/9/17,2424.51001,2463.540039,2412.790039,2459.27002,2459.27002,15081810000,28
7/16/17,2459.5,2477.620117,2450.340088,2472.540039,2472.540039,15057410000,29
7/23/17,2472.040039,2484.040039,2459.929932,2472.100098,2472.100098,17965610000,30
7/30/17,2475.939941,2480.379883,2466.47998,2476.830078,2476.830078,17288810000,31
8/6/17,2477.139893,2490.870117,2437.75,2441.320068,2441.320068,16365480000,32
8/13/17,2454.959961,2474.929932,2420.689941,2425.550049,2425.550049,15247600000,33
8/20/17,2425.5,2454.77002,2417.350098,2443.050049,2443.050049,13786300000,34
8/27/17,2447.350098,2480.379883,2428.199951,2476.550049,2476.550049,14107780000,35
9/3/17,2470.350098,2471.969971,2446.550049,2461.429932,2461.429932,13521090000,36
9/10/17,2474.52002,2500.22998,2474.52002,2500.22998,2500.22998,18158360000,37
9/17/17,2502.51001,2508.850098,2496.540039,2502.219971,2502.219971,15770230000,38
9/24/17,2499.389893,2519.439941,2488.030029,2519.360107,2519.360107,16177570000,39
10/1/17,2521.199951,2552.51001,2520.399902,2549.330078,2549.330078,15215390000,40
10/8/17,2551.389893,2557.649902,2541.600098,2553.169922,2553.169922,14721510000,41
10/15/17,2555.570068,2575.439941,2547.919922,2575.209961,2575.209961,15178860000,42
10/22/17,2578.080078,2582.97998,2544,2581.070068,2581.070068,18269710000,43
10/29/17,2577.75,2588.419922,2566.169922,2587.840088,2587.840088,18915260000,44
11/5/17,2587.469971,2597.02002,2566.330078,2582.300049,2582.300049,18566610000,45
11/12/17,2576.530029,2590.090088,2557.449951,2578.850098,2578.850098,17216450000,46
11/19/17,2579.48999,2604.209961,2578.23999,2602.419922,2602.419922,10448990000,47
11/26/17,2602.659912,2657.73999,2598.870117,2642.219971,2642.219971,19454370000,48
