,name,timestamp,week,symbol,compound,positive,negative,neutral,add
59,SatoshiLite,Dec/04/2017,49,Bitcoin,-0.296,0.0,0.081,0.919,1
60,SatoshiLite,Dec/04/2017,49,Bitcoin,0.4404,0.121,0.0,0.879,1
61,SatoshiLite,Dec/04/2017,49,Bitcoin,0.0,0.0,0.0,1.0,1
62,SatoshiLite,Dec/02/2017,48,Bitcoin,0.3802,0.178,0.0,0.822,1
63,SatoshiLite,Dec/02/2017,48,Bitcoin,0.4404,0.116,0.0,0.884,1
64,SatoshiLite,Dec/02/2017,48,Bitcoin,0.5994,0.29,0.0,0.71,1
65,SatoshiLite,Dec/01/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
66,SatoshiLite,Dec/01/2017,48,Bitcoin,0.5388,0.24,0.0,0.76,1
67,SatoshiLite,Nov/30/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
68,SatoshiLite,Nov/30/2017,48,Bitcoin,-0.0772,0.0,0.245,0.755,1
69,SatoshiLite,Nov/30/2017,48,Bitcoin,0.4574,0.499,0.0,0.501,1
70,SatoshiLite,Nov/30/2017,48,Bitcoin,-0.4019,0.0,0.403,0.597,1
71,SatoshiLite,Nov/30/2017,48,Bitcoin,0.4971,0.291,0.131,0.578,1
72,SatoshiLite,Nov/30/2017,48,Bitcoin,0.1779,0.126,0.095,0.779,1
73,SatoshiLite,Nov/30/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
74,SatoshiLite,Nov/30/2017,48,Bitcoin,-0.128,0.0,0.073,0.927,1
75,SatoshiLite,Nov/30/2017,48,Bitcoin,-0.7269,0.0,0.303,0.697,1
76,SatoshiLite,Nov/30/2017,48,Bitcoin,-0.3089,0.0,0.075,0.925,1
77,SatoshiLite,Nov/30/2017,48,Bitcoin,0.296,0.423,0.0,0.577,1
78,SatoshiLite,Nov/29/2017,48,Bitcoin,0.4404,0.172,0.0,0.828,1
79,SatoshiLite,Nov/29/2017,48,Bitcoin,0.7579,0.302,0.0,0.698,1
80,SatoshiLite,Nov/29/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
81,SatoshiLite,Nov/29/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
82,SatoshiLite,Nov/29/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
83,SatoshiLite,Nov/29/2017,48,Bitcoin,0.7959,0.272,0.0,0.728,1
84,SatoshiLite,Nov/28/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
85,SatoshiLite,Nov/28/2017,48,Bitcoin,-0.6369,0.0,0.215,0.785,1
86,SatoshiLite,Nov/28/2017,48,Bitcoin,0.4404,0.182,0.0,0.818,1
87,SatoshiLite,Nov/28/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
88,SatoshiLite,Nov/28/2017,48,Bitcoin,0.4019,0.153,0.0,0.847,1
89,SatoshiLite,Nov/28/2017,48,Bitcoin,0.5994,0.214,0.0,0.786,1
90,SatoshiLite,Nov/28/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
91,SatoshiLite,Nov/28/2017,48,Bitcoin,0.5994,0.45,0.0,0.55,1
92,SatoshiLite,Nov/28/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
93,SatoshiLite,Nov/28/2017,48,Bitcoin,0.2815,0.212,0.116,0.672,1
94,SatoshiLite,Nov/28/2017,48,Bitcoin,0.0,0.0,0.0,1.0,1
95,SatoshiLite,Nov/28/2017,48,Bitcoin,0.2177,0.145,0.102,0.752,1
