Date,Open,High,Low,Close,Adj Close,Volume
4/24/2017,1248.180054,1272.619995,1244.209961,1264.310059,1264.310059,56659016
4/25/2017,1264.310059,1309.199951,1263,1286.630005,1286.630005,77649710
4/26/2017,1286.630005,1346.790039,1285.300049,1332.910034,1332.910034,83319636
4/27/2017,1332.910034,1356.150024,1287.619995,1329.619995,1329.619995,104536476
4/28/2017,1329.619995,1343.689941,1314.150024,1336.280029,1336.280029,55982468
4/29/2017,1336.280029,1358.939941,1309.660034,1351.910034,1351.910034,55470285
4/30/2017,1351.910034,1448.680054,1342.780029,1415.810059,1415.810059,144414038
5/1/2017,1415.810059,1471.140015,1394.829956,1445.930054,1445.930054,103342244
5/2/2017,1445.930054,1496.390015,1424.050049,1485.550049,1485.550049,122551707
5/3/2017,1485.550049,1609.839966,1437.109985,1516.76001,1516.76001,213084949
5/4/2017,1516.76001,1588.109985,1485.01001,1507.77002,1507.77002,188015771
5/5/2017,1507.77002,1560.420044,1503.930054,1545.290039,1545.290039,92747185
5/6/2017,1545.290039,1572.890015,1495.180054,1554.449951,1554.449951,111708072
5/7/2017,1554.449951,1667.670044,1552.859985,1664.469971,1664.469971,174687869
5/8/2017,1664.469971,1757.390015,1619.969971,1697.5,1697.5,219169486
5/9/2017,1697.5,1766.180054,1664.98999,1752.310059,1752.310059,156203600
5/10/2017,1752.310059,1864.76001,1741.540039,1819.290039,1819.290039,198829123
5/11/2017,1819.290039,1822.51001,1641.180054,1686.390015,1686.390015,192159873
5/12/2017,1686.390015,1770.5,1594.589966,1763.73999,1763.73999,128390095
5/13/2017,1763.73999,1802.75,1736.130005,1772.550049,1772.550049,72874378
5/14/2017,1772.550049,1776.650024,1656.810059,1708.920044,1708.920044,138499150
5/15/2017,1708.920044,1752.550049,1653.719971,1729.339966,1729.339966,130379207
5/16/2017,1729.339966,1842.829956,1703.969971,1801.300049,1801.300049,170954154
5/17/2017,1801.300049,1980.48999,1791.119995,1880.98999,1880.98999,135901905
5/18/2017,1880.98999,1969.699951,1875.280029,1962,1962,191523926
5/19/2017,1962,2048.449951,1944.400024,2040.180054,2040.180054,179346919
5/20/2017,2040.180054,2094.939941,1980.069946,2044.189941,2044.189941,161036810
5/21/2017,2044.189941,2264.76001,1998.609985,2124.409912,2124.409912,373482496
5/22/2017,2124.409912,2286.300049,2110.780029,2272.580078,2272.580078,251969081
5/23/2017,2272.580078,2496.97998,2263.290039,2445.280029,2445.280029,353734030
5/24/2017,2445.280029,2781.76001,2210.47998,2307.219971,2307.219971,622139030
5/25/2017,2306.959961,2616.52002,2051.449951,2244.889893,2244.889893,441342711
5/26/2017,2244.889893,2322.370117,1868.560059,2052.429932,2052.429932,446034004
5/27/2017,2052.429932,2300.52002,2051.070068,2189.02002,2189.02002,266766116
5/28/2017,2189.02002,2337.350098,2117.340088,2278.209961,2278.209961,204101576
5/29/2017,2278.209961,2329.26001,2147.100098,2192.550049,2192.550049,270069146
5/30/2017,2192.550049,2330.620117,2168.370117,2303.340088,2303.340088,261223035
5/31/2017,2303.340088,2460.840088,2303.340088,2412.649902,2412.649902,290070431
6/1/2017,2412.649902,2493.969971,2385.590088,2492.600098,2492.600098,199765372
6/2/2017,2492.600098,2582.77002,2449.949951,2545.429932,2545.429932,177168595
6/3/2017,2545.429932,2559.790039,2478.179932,2524.060059,2524.060059,149060810
6/4/2017,2524.060059,2705.379883,2523.919922,2704.959961,2704.959961,225611887
6/5/2017,2704.959961,2931.23999,2699.679932,2870.5,2870.5,538772473
6/6/2017,2870.5,2880.949951,2626.560059,2691.51001,2691.51001,340329903
6/7/2017,2691.51001,2808.409912,2623.610107,2798.780029,2798.780029,260898606
6/8/2017,2798.780029,2852.070068,2786.070068,2811.429932,2811.429932,189237110
6/9/2017,2811.429932,2914.189941,2807.360107,2900.25,2900.25,246869682
6/10/2017,2900.25,2977.860107,2867.25,2973.449951,2973.449951,241516660
6/11/2017,2973.449951,2985.060059,2483.629883,2656.77002,2656.77002,585158909
6/12/2017,2656.77002,2784.77002,2647.439941,2712.98999,2712.98999,314476276
6/13/2017,2712.98999,2803.719971,2348.98999,2467.27002,2467.27002,448294279
6/14/2017,2467.27002,2521.600098,2125.560059,2442.459961,2442.459961,606264366
6/15/2017,2442.459961,2536.419922,2335.280029,2508.580078,2508.580078,286630757
6/16/2017,2508.580078,2690.709961,2454.810059,2655.100098,2655.100098,246698591
6/17/2017,2655.100098,2676.040039,2488.590088,2539.560059,2539.560059,235239296
6/18/2017,2539.560059,2617.75,2518.780029,2616.820068,2616.820068,210372750
6/19/2017,2616.820068,2800.47998,2613.97998,2754.379883,2754.379883,300034010
6/20/2017,2754.379883,2804.409912,2624.350098,2677.620117,2677.620117,313234721
6/21/2017,2677.620117,2757.320068,2623.169922,2722.840088,2722.840088,210318780
6/22/2017,2722.840088,2759.659912,2699.47998,2710.370117,2710.370117,155303414
6/23/2017,2710.370117,2741.560059,2540.350098,2590.050049,2590.050049,228007287
6/24/2017,2590.050049,2660.659912,2472.370117,2541.620117,2541.620117,220679135
6/25/2017,2541.620117,2584.75,2327.26001,2446.050049,2446.050049,401912134
6/26/2017,2446.050049,2585.060059,2309.629883,2583.75,2583.75,381517099
6/27/2017,2583.75,2616.949951,2490.110107,2577.73999,2577.73999,279792448
6/28/2017,2577.73999,2605.860107,2526.51001,2558.370117,2558.370117,191733499
6/29/2017,2558.370117,2576.280029,2469.540039,2480.610107,2480.610107,183878856
6/30/2017,2480.610107,2529.620117,2387.469971,2424.610107,2424.610107,160661673
7/1/2017,2424.610107,2555.340088,2375.860107,2536.459961,2536.459961,165839565
7/2/2017,2536.459961,2617.47998,2506.300049,2572.469971,2572.469971,212244951
7/3/2017,2572.469971,2658.72998,2569.98999,2617.320068,2617.320068,210433639
7/4/2017,2617.320068,2642.73999,2562.040039,2627.860107,2627.860107,232257106
7/5/2017,2627.860107,2634.840088,2581.800049,2614.23999,2614.23999,156558009
7/6/2017,2614.23999,2617.47998,2484.72998,2513.879883,2513.879883,229168229
7/7/2017,2513.879883,2568.72998,2480.620117,2564.860107,2564.860107,136973389
7/8/2017,2564.860107,2576.72998,2509.649902,2511.429932,2511.429932,99506518
7/9/2017,2511.429932,2530.340088,2271.790039,2344.02002,2344.02002,297270301
7/10/2017,2344.02002,2412.75,2265.47998,2324.290039,2324.290039,341998621
7/11/2017,2324.290039,2424.820068,2262.080078,2403.090088,2403.090088,257095280
7/12/2017,2403.090088,2436.659912,2334.959961,2362.439941,2362.439941,208630220
7/13/2017,2362.439941,2370.530029,2165.360107,2234.169922,2234.169922,257704533
7/14/2017,2234.169922,2237.129883,1974.030029,1975.079956,1975.079956,320719096
7/15/2017,1975.079956,2044.410034,1808.98999,1914.089966,1914.089966,364287861
