Date,In Circulation
5/22/2017 0:00,16345700.00
5/23/2017 0:00,16347800.00
5/24/2017 0:00,16349725.00
5/25/2017 0:00,16351762.50
5/26/2017 0:00,16353675.00
5/27/2017 0:00,16355775.00
5/28/2017 0:00,16357837.50
5/29/2017 0:00,16359725.00
5/30/2017 0:00,16361962.50
5/31/2017 0:00,16364012.50
6/1/2017 0:00,16366137.50
6/2/2017 0:00,16367962.50
6/3/2017 0:00,16370362.50
6/4/2017 0:00,16372375.00
6/5/2017 0:00,16374425.00
6/6/2017 0:00,16376312.50
6/7/2017 0:00,16378375.00
6/8/2017 0:00,16380437.50
6/9/2017 0:00,16382325.00
6/10/2017 0:00,16384087.50
6/11/2017 0:00,16385912.50
6/12/2017 0:00,16387750.00
6/13/2017 0:00,16389512.50
6/14/2017 0:00,16391262.50
6/15/2017 0:00,16393175.00
6/16/2017 0:00,16395025.00
6/17/2017 0:00,16396837.50
6/18/2017 0:00,16398650.00
6/19/2017 0:00,16400537.50
6/20/2017 0:00,16402262.50
6/21/2017 0:00,16404012.50
6/22/2017 0:00,16405750.00
6/23/2017 0:00,16407750.00
6/24/2017 0:00,16409575.00
6/25/2017 0:00,16411100.00
6/26/2017 0:00,16412875.00
6/27/2017 0:00,16414512.50
6/28/2017 0:00,16416475.00
6/29/2017 0:00,16417975.00
6/30/2017 0:00,16419900.00
7/1/2017 0:00,16421950.00
7/2/2017 0:00,16424300.00
7/3/2017 0:00,16426425.00
7/4/2017 0:00,16428337.50
7/5/2017 0:00,16430200.00
7/6/2017 0:00,16431975.00
7/7/2017 0:00,16433825.00
7/8/2017 0:00,16435887.50
7/9/2017 0:00,16437612.50
7/10/2017 0:00,16440075.00
7/11/2017 0:00,16442237.50
7/12/2017 0:00,16444450.00
7/13/2017 0:00,16446412.50
7/14/2017 0:00,16448150.00
7/15/2017 0:00,16449737.50
7/16/2017 0:00,16451775.00
7/17/2017 0:00,16453625.00
7/18/2017 0:00,16455687.50
7/19/2017 0:00,16457550.00
7/20/2017 0:00,16459575.00
7/21/2017 0:00,16461500.00
7/22/2017 0:00,16463500.00
7/23/2017 0:00,16465650.00
7/24/2017 0:00,16467875.00
7/25/2017 0:00,16469725.00
7/26/2017 0:00,16471562.50
7/27/2017 0:00,16473487.50
7/28/2017 0:00,16475362.50
7/29/2017 0:00,16477325.00
7/30/2017 0:00,16479162.50
7/31/2017 0:00,16480975.00
8/1/2017 0:00,16482837.50
8/2/2017 0:00,16484737.50
8/3/2017 0:00,16486462.50
8/4/2017 0:00,16488700.00
8/5/2017 0:00,16490912.50
8/6/2017 0:00,16492662.50
8/7/2017 0:00,16494575.00
8/8/2017 0:00,16496625.00
8/9/2017 0:00,16498350.00
8/10/2017 0:00,16500025.00
8/11/2017 0:00,16501825.00
8/12/2017 0:00,16503512.50
8/13/2017 0:00,16505362.50
8/14/2017 0:00,16506987.50
8/15/2017 0:00,16508887.50
8/16/2017 0:00,16510512.50
8/17/2017 0:00,16512750.00
8/18/2017 0:00,16514612.50
8/19/2017 0:00,16516500.00
8/20/2017 0:00,16518125.00
8/21/2017 0:00,16519562.50
8/22/2017 0:00,16520675.00
8/23/2017 0:00,16522662.50
8/24/2017 0:00,16523925.00
8/25/2017 0:00,16525187.50
8/26/2017 0:00,16526500.00
8/27/2017 0:00,16528437.50
8/28/2017 0:00,16530050.00
8/29/2017 0:00,16531912.50
8/30/2017 0:00,16534012.50
8/31/2017 0:00,16536050.00
9/1/2017 0:00,16538225.00
9/2/2017 0:00,16540275.00
9/3/2017 0:00,16542200.00
9/4/2017 0:00,16544387.50
9/5/2017 0:00,16546850.00
9/6/2017 0:00,16548875.00
9/7/2017 0:00,16551075.00
9/8/2017 0:00,16553262.50
9/9/2017 0:00,16555375.00
9/10/2017 0:00,16557100.00
9/11/2017 0:00,16559275.00
9/12/2017 0:00,16561625.00
9/13/2017 0:00,16564000.00
9/14/2017 0:00,16566175.00
9/15/2017 0:00,16568425.00
9/16/2017 0:00,16570537.50
9/17/2017 0:00,16572737.50
9/18/2017 0:00,16574325.00
9/19/2017 0:00,16576275.00
9/20/2017 0:00,16577737.50
9/21/2017 0:00,16579937.50
9/22/2017 0:00,16581675.00
9/23/2017 0:00,16583750.00
9/24/2017 0:00,16585562.50
9/25/2017 0:00,16587125.00
9/26/2017 0:00,16588850.00
9/27/2017 0:00,16590687.50
9/28/2017 0:00,16592900.00
9/29/2017 0:00,16595012.50
9/30/2017 0:00,16596737.50
10/1/2017 0:00,16598362.50
10/2/2017 0:00,16600237.50
10/3/2017 0:00,16602525.00
10/4/2017 0:00,16604200.00
10/5/2017 0:00,16605762.50
10/6/2017 0:00,16607750.00
10/7/2017 0:00,16609725.00
10/8/2017 0:00,16612000.00
10/9/2017 0:00,16614012.50
10/10/2017 0:00,16616012.50
10/11/2017 0:00,16617750.00
10/12/2017 0:00,16619662.50
10/13/2017 0:00,16621362.50
10/14/2017 0:00,16623125.00
10/15/2017 0:00,16625562.50
10/16/2017 0:00,16627737.50
10/17/2017 0:00,16629787.50
10/18/2017 0:00,16631675.00
10/19/2017 0:00,16633900.00
10/20/2017 0:00,16636137.50
10/21/2017 0:00,16638050.00
10/22/2017 0:00,16640325.00
10/23/2017 0:00,16642462.50
10/24/2017 0:00,16644550.00
10/25/2017 0:00,16646862.50
10/26/2017 0:00,16649112.50
10/27/2017 0:00,16650412.50
10/28/2017 0:00,16651475.00
10/29/2017 0:00,16653400.00
10/30/2017 0:00,16655237.50
10/31/2017 0:00,16656962.50
11/1/2017 0:00,16658325.00
11/2/2017 0:00,16660787.50
11/3/2017 0:00,16662275.00
11/4/2017 0:00,16663900.00
11/5/2017 0:00,16665662.50
11/6/2017 0:00,16667325.00
11/7/2017 0:00,16669275.00
11/8/2017 0:00,16671075.00
11/9/2017 0:00,16672987.50
11/10/2017 0:00,16674487.50
11/11/2017 0:00,16675487.50
11/12/2017 0:00,16676487.50
11/13/2017 0:00,16678237.50
11/14/2017 0:00,16679837.50
11/15/2017 0:00,16681737.50
11/16/2017 0:00,16683637.50
11/17/2017 0:00,16685725.00
11/18/2017 0:00,16687425.00
11/19/2017 0:00,16689425.00
11/20/2017 0:00,16691612.50
11/21/2017 0:00,16693775.00
11/22/2017 0:00,16695312.50
11/23/2017 0:00,16697587.50
11/24/2017 0:00,16699450.00
11/25/2017 0:00,16701400.00
11/26/2017 0:00,16703312.50
11/27/2017 0:00,16705437.50
11/28/2017 0:00,16707387.50
11/29/2017 0:00,16709550.00
11/30/2017 0:00,16711637.50
12/1/2017 0:00,16713925.00
12/2/2017 0:00,16715937.50
12/3/2017 0:00,16718137.50
12/4/2017 0:00,16720400.00
12/5/2017 0:00,16722625.00
12/6/2017 0:00,16724975.00
12/7/2017 0:00,16726862.50
12/8/2017 0:00,16728825.00
