,Date,Day,In Circulation,Open,High,Low,Close,Adj Close,Volume,Percentage Change in Circulation,Percentage Change in Price
0,1/1/2017,1,16077350.0,963.3800050000001,1001.6099849999999,956.099976,995.4400019999999,995.4400019999999,40570922,,
1,1/2/2017,2,16079337.5,995.4400019999999,1031.680054,990.2000119999999,1017.0499880000001,1017.0499880000001,66038073,0.0001236211191522063,0.021708978900367937
2,1/3/2017,3,16081387.5,1017.0499880000001,1035.469971,1006.5300289999999,1033.300049,1033.300049,56085870,0.0001274928149246346,0.015977642388999014
3,1/4/2017,4,16083300.0,1033.300049,1148.540039,1022.320007,1135.410034,1135.410034,170584623,0.00011892630533272275,0.09881929754945751
4,1/5/2017,5,16085050.0,1135.410034,1150.630005,874.5300289999999,989.349976,989.349976,244839289,0.00010880851566530403,-0.12864080255256938
5,1/6/2017,6,16087062.5,989.349976,1027.420044,852.5499880000001,886.159973,886.159973,179160668,0.00012511617930943686,-0.10430080912035111
6,1/7/2017,7,16088787.5,886.159973,900.8599849999999,806.659973,888.8699949999999,888.8699949999999,113037531,0.00010722902332238604,0.003058163404543457
7,1/8/2017,8,16090875.0,888.8699949999999,936.1300050000001,875.849976,900.8599849999999,900.8599849999999,70298340,0.00012974874582694085,0.013489025467666949
8,1/9/2017,9,16092575.0,900.8599849999999,910.4699710000001,870.909973,899.7800289999999,899.7800289999999,55963281,0.00010564994134876216,-0.0011988056057347096
9,1/10/2017,10,16094575.0,899.7800289999999,911.320007,890.1199949999999,904.3699949999999,904.3699949999999,48644106,0.0001242809183739091,0.005101209020054842
10,1/11/2017,11,16096487.5,904.3699949999999,917.650024,751.630005,785.429993,785.429993,160194109,0.00011882886003511395,-0.13151697055141676
11,1/12/2017,12,16098637.5,785.429993,828.210022,739.549988,810.1099849999999,810.1099849999999,93986701,0.0001335695132245185,0.0314222683370331
12,1/13/2017,13,16100512.5,810.1099849999999,835.049988,771.0,824.830017,824.830017,72555875,0.00011646948383048361,0.018170411762052252
13,1/14/2017,14,16102662.5,824.830017,838.900024,808.27002,819.630005,819.630005,36594482,0.00013353612190925013,-0.006304343795480505
14,1/15/2017,15,16104750.0,819.630005,826.429993,808.630005,821.169983,821.169983,20004735,0.0001296369466849967,0.0018788697224425555
15,1/16/2017,16,16106862.5,821.169983,836.659973,817.700012,827.340027,827.340027,27592899,0.00013117248016891736,0.0075137232579529645
16,1/17/2017,17,16108837.5,827.340027,906.3800050000001,825.039978,899.659973,899.659973,72272727,0.00012261854225181779,0.08741260381446536
17,1/18/2017,18,16110712.5,899.659973,913.669983,845.8699949999999,872.0300289999999,872.0300289999999,61042392,0.000116395736191377,-0.030711540836773632
18,1/19/2017,19,16112887.5,872.0300289999999,905.2800289999999,870.7100220000001,895.2100220000001,895.2100220000001,52300814,0.00013500334016880444,0.02658164538964547
19,1/20/2017,20,16115250.0,895.2100220000001,901.48999,878.900024,892.909973,892.909973,34847130,0.00014662176472102217,-0.002569284238866598
20,1/21/2017,21,16117512.5,892.909973,928.929993,889.4600220000001,919.840027,919.840027,37129176,0.0001403949674996241,0.030159875927379565
21,1/22/2017,22,16119687.5,919.840027,938.3800050000001,888.6199949999999,918.840027,918.840027,44074299,0.00013494638207967036,-0.0010871455586265455
22,1/23/2017,23,16121412.5,918.840027,927.9799800000001,910.849976,921.4600220000001,921.4600220000001,30261054,0.00010701200007745548,0.002851415831931492
23,1/24/2017,24,16123275.0,921.4600220000001,925.6099849999999,889.150024,893.75,893.75,53468911,0.00011552957906135752,-0.030071865667982367
24,1/25/2017,25,16125137.5,893.75,905.7000119999999,883.6300050000001,894.409973,894.409973,34014866,0.00011551623351957474,0.0007384313286713517
25,1/26/2017,26,16127075.0,894.409973,919.320007,893.48999,915.5599980000001,915.5599980000001,30795685,0.0001201540141906321,0.023646902023083838
26,1/27/2017,27,16129200.0,915.5599980000001,922.5599980000001,907.919983,918.01001,918.01001,28503144,0.0001317659898028012,0.002675970996277588
27,1/28/2017,28,16131100.0,918.01001,921.8900150000001,912.840027,918.51001,918.51001,13251844,0.00011779877489281887,0.0005446563703592755
28,1/29/2017,29,16133187.5,918.51001,922.400024,912.679993,914.5499880000001,914.5499880000001,10214368,0.00012940840984176916,-0.0043113542115886805
29,1/30/2017,30,16134987.5,914.5499880000001,922.349976,911.51001,920.7299800000001,920.7299800000001,17604172,0.00011157125645500088,0.00675741302398869
30,1/31/2017,31,16136800.0,920.7299800000001,967.4500119999999,917.3800050000001,965.48999,965.48999,51869216,0.0001123335236548062,0.04861361199512593
31,2/1/2017,32,16139200.0,965.48999,986.570007,959.820007,982.429993,982.429993,44035816,0.00014872837241575176,0.01754549832256669
32,2/2/2017,33,16141162.5,982.429993,1009.1300050000001,973.5,1003.9699710000001,1003.9699710000001,50633910,0.00012159834440361728,0.0219252039875375
33,2/3/2017,34,16143025.0,1003.9699710000001,1023.7199710000001,989.2100220000001,1013.0200199999999,1013.0200199999999,62431017,0.00011538821940493271,0.009014262638737724
34,2/4/2017,35,16144825.0,1013.0200199999999,1041.040039,1000.409973,1031.849976,1031.849976,40406542,0.00011150326534226096,0.018587940641094258
35,2/5/2017,36,16146812.5,1031.849976,1033.660034,1004.0499880000001,1016.1099849999999,1016.1099849999999,31669956,0.00012310446226582172,-0.015254146790812162
36,2/6/2017,37,16148375.0,1016.1099849999999,1030.599976,1010.830017,1024.670044,1024.670044,32828350,9.676832501770427e-05,0.008424342961259379
37,2/7/2017,38,16150262.5,1024.670044,1054.099976,1019.8699949999999,1049.560059,1049.560059,41318349,0.00011688482587257631,0.0242907608607712
38,2/8/2017,39,16152087.5,1049.560059,1069.22998,1020.330017,1055.48999,1055.48999,68336320,0.0001130012592673868,0.005649920601637604
39,2/9/2017,40,16154200.0,1055.48999,1073.030029,924.650024,978.9600220000001,978.9600220000001,145839317,0.00013078804829413926,-0.072506578674422
40,2/10/2017,41,16156037.5,978.9600220000001,1005.599976,947.0200199999999,997.6099849999999,997.6099849999999,60639111,0.00011374750838788472,0.019050791228326425
41,2/11/2017,42,16157775.0,997.6099849999999,1014.320007,983.929993,1008.320007,1008.320007,28504495,0.00010754493482689753,0.01073568043728046
42,2/12/2017,43,16159525.0,1008.320007,1007.820007,992.4500119999999,996.5200199999999,996.5200199999999,14825023,0.00010830699152575285,-0.011702621110442846
43,2/13/2017,44,16161562.5,996.5200199999999,1007.6099849999999,975.099976,995.3599849999999,995.3599849999999,32785064,0.00012608662692747963,-0.0011640859959842764
44,2/14/2017,45,16163675.0,995.3599849999999,1013.7999880000001,986.4600220000001,1008.340027,1008.340027,39810076,0.00013071137150255652,0.013040550349228797
45,2/15/2017,46,16165412.5,1008.340027,1010.929993,999.7299800000001,1008.1900019999999,1008.1900019999999,23569549,0.00010749411875710102,-0.00014878413628627296
46,2/16/2017,47,16167300.0,1008.1900019999999,1040.280029,1007.3900150000001,1031.930054,1031.930054,39114743,0.00011676163537432949,0.023547200381778932
47,2/17/2017,48,16169187.5,1031.930054,1057.390015,1025.869995,1049.410034,1049.410034,47815360,0.00011674800368655092,0.01693911320078678
