,Date,Period,Open,High,Low,Close,Adj Close,Volume,Percentage Change in Volume,Percentage Change in Price
0,1/1/2017,1,2251.570068,2282.100098,2245.1298829999996,2276.97998,2276.97998,14637130000,,
1,1/8/2017,2,2273.590088,2279.27002,2254.25,2274.639893,2274.639893,17020210000,0.1628106056310219,-0.0010277152283086899
2,1/15/2017,3,2269.139893,2276.959961,2258.409912,2271.310059,2271.310059,13591180000,-0.20146813699713462,-0.0014638950148757601
3,1/22/2017,4,2267.780029,2300.98999,2257.02002,2294.689941,2294.689941,17555940000,0.2917156567715238,0.01029356688108618
4,1/29/2017,5,2286.01001,2298.310059,2267.209961,2297.419922,2297.419922,19001010000,0.08231231138862394,0.0011896949349115005
5,2/5/2017,6,2294.280029,2319.22998,2285.3798829999996,2316.100098,2316.100098,17320440000,-0.08844635100976206,0.008130936717802184
6,2/12/2017,7,2321.719971,2351.310059,2321.419922,2351.159912,2351.159912,17831660000,0.029515416467480016,0.015137434703394348
7,2/19/2017,8,2354.909912,2368.26001,2352.8701170000004,2367.340088,2367.340088,14895280000,-0.1646722739217773,0.006881784568296911
8,2/26/2017,9,2365.22998,2400.97998,2358.959961,2383.1201170000004,2383.1201170000004,19514510000,0.3101136735932457,0.006665721194850427
9,3/5/2017,10,2375.22998,2378.800049,2354.540039,2372.600098,2372.600098,17712480000,-0.09234308214759168,-0.004414388903419497
10,3/12/2017,11,2371.560059,2390.01001,2358.179932,2378.25,2378.25,18757070000,0.058974801947553335,0.002381312385834722
11,3/19/2017,12,2378.23999,2381.929932,2335.73999,2343.97998,2343.97998,17128980000,-0.08679873775595015,-0.01440976348155154
12,3/26/2017,13,2329.110107,2370.419922,2322.25,2362.719971,2362.719971,16227480000,-0.052630104069244066,0.0079949449909551
13,4/2/2017,14,2362.340088,2378.360107,2344.72998,2355.540039,2355.540039,16648230000,0.025928240244326384,-0.003038841711301532
14,4/9/2017,15,2357.159912,2366.3701170000004,2328.949951,2328.949951,2328.949951,12243670000,-0.26456626320035226,-0.011288319264268654
15,4/16/2017,16,2332.6201170000004,2361.3701170000004,2332.51001,2348.689941,2348.689941,16765230000,0.3692977677444753,0.008475918510624902
16,4/23/2017,17,2370.330078,2398.159912,2369.189941,2384.199951,2384.199951,19608540000,0.16959564527298454,0.015119071010659235
17,4/30/2017,18,2388.5,2399.290039,2379.75,2399.290039,2399.290039,18809590000,-0.04074500192263164,0.006329204055922633
18,5/7/2017,19,2399.939941,2403.8701170000004,2381.73999,2390.899902,2390.899902,17759610000,-0.05582152508374716,-0.0034969248667813257
19,5/14/2017,20,2393.97998,2405.77002,2352.719971,2381.72998,2381.72998,19201970000,0.08121574741787696,-0.0038353433334157305
20,5/21/2017,21,2387.209961,2418.709961,2386.919922,2415.820068,2415.820068,16116730000,-0.1606730976040479,0.014313162401390134
21,5/28/2017,22,2411.669922,2440.22998,2403.590088,2439.070068,2439.070068,15038090000,-0.06692672769228003,0.009624061124406502
22,6/4/2017,23,2437.830078,2446.199951,2415.699951,2431.77002,2431.77002,17598940000,0.17029090795440105,-0.0029929636281363914
23,6/11/2017,24,2425.8798829999996,2443.75,2418.530029,2433.149902,2433.149902,19496610000,0.10782865331662017,0.0005674393502064223
24,6/18/2017,25,2442.550049,2453.820068,2430.73999,2438.300049,2438.300049,19022570000,-0.024313970479996283,0.0021166583266269967
25,6/25/2017,26,2443.320068,2450.419922,2405.699951,2423.409912,2423.409912,17565550000,-0.07659427721911394,-0.006106769757933006
26,7/2/2017,27,2431.389893,2439.169922,2407.699951,2425.179932,2425.179932,11595360000,-0.3398806185971973,0.0007303840721437638
27,7/9/2017,28,2424.51001,2463.540039,2412.790039,2459.27002,2459.27002,15081810000,0.3006763050047605,0.014056725255798375
28,7/16/2017,29,2459.5,2477.6201170000004,2450.340088,2472.540039,2472.540039,15057410000,-0.0016178429512108128,0.0053959178504523475
29,7/23/2017,30,2472.040039,2484.040039,2459.929932,2472.100098,2472.100098,17965610000,0.19314078583235772,-0.00017793078901084947
30,7/30/2017,31,2475.939941,2480.3798829999996,2466.47998,2476.830078,2476.830078,17288810000,-0.0376719743999786,0.0019133448535626485
31,8/6/2017,32,2477.139893,2490.8701170000004,2437.75,2441.320068,2441.320068,16365480000,-0.05340622055537658,-0.014336877735542375
32,8/13/2017,33,2454.959961,2474.929932,2420.689941,2425.550049,2425.550049,15247600000,-0.06830719294515042,-0.00645962780821252
33,8/20/2017,34,2425.5,2454.77002,2417.350098,2443.050049,2443.050049,13786300000,-0.09583803352658782,0.007214858339952501
34,8/27/2017,35,2447.350098,2480.3798829999996,2428.199951,2476.550049,2476.550049,14107780000,0.02331880199908598,0.013712367462022534
35,9/3/2017,36,2470.350098,2471.969971,2446.550049,2461.429932,2461.429932,13521090000,-0.041586273673108076,-0.006105314530633121
36,9/10/2017,37,2474.52002,2500.22998,2474.52002,2500.22998,2500.22998,18158360000,0.34296569285464407,0.015763214502097833
37,9/17/2017,38,2502.51001,2508.850098,2496.540039,2502.219971,2502.219971,15770230000,-0.1315168330179598,0.0007959231814347323
38,9/24/2017,39,2499.389893,2519.439941,2488.030029,2519.360107,2519.360107,16177570000,0.025829680353425477,0.006849971704586011
39,10/1/2017,40,2521.199951,2552.51001,2520.399902,2549.330078,2549.330078,15215390000,-0.059476175964622624,0.011895866302212621
40,10/8/2017,41,2551.389893,2557.649902,2541.600098,2553.169922,2553.169922,14721510000,-0.032459240282372015,0.0015062168815003218
41,10/15/2017,42,2555.570068,2575.439941,2547.919922,2575.209961,2575.209961,15178860000,0.031066785947908793,0.008632421528268264
42,10/22/2017,43,2578.080078,2582.97998,2544.0,2581.070068,2581.070068,18269710000,0.20362859924921906,0.0022755841615820227
43,10/29/2017,44,2577.75,2588.419922,2566.169922,2587.840088,2587.840088,18915260000,0.03533444154285981,0.002622950877597008
44,11/5/2017,45,2587.469971,2597.02002,2566.330078,2582.300049,2582.300049,18566610000,-0.01843220764610165,-0.0021407964988600092
45,11/12/2017,46,2576.530029,2590.090088,2557.449951,2578.850098,2578.850098,17216450000,-0.07271979106578963,-0.0013359992775959784
46,11/19/2017,47,2579.48999,2604.209961,2578.23999,2602.419922,2602.419922,10448990000,-0.39308103586976406,0.00913966423185264
47,11/26/2017,48,2602.659912,2657.73999,2598.8701170000004,2642.219971,2642.219971,19454370000,0.8618421493369215,0.015293476914906456
